Klub,Kratica,St_tekem,Povprecje,Na_40_min,Turnovers,Sezona
Real Madrid,MAD,7,14.00,2.75,98,2002
Zalgiris,ZAL,7,13.57,2.67,95,2002
Partizan,PAR,7,13.00,2.55,91,2002
AEK Athens,AEK,7,11.71,2.34,82,2002
FC Barcelona,BAR,10,16.00,3.20,160,2003
Pau-Orthez,PAU,10,15.90,3.18,159,2003
Tau Ceramica,BAS,10,15.80,3.16,158,2003
Skipper Bologna,FOR,12,12.75,2.52,153,2003
CSKA Moscow,CSK,12,12.67,2.53,152,2003
Maccabi Elite,TEL,10,14.20,2.80,142,2003
Zalgiris,ZAL,10,13.50,2.67,135,2003
Panathinaikos,PAN,10,12.90,2.49,129,2003
Pamesa Valencia,PAM,10,12.80,2.84,128,2003
Cibona VIP,CIB,10,12.50,2.47,125,2003
Montepaschi Siena,SIE,10,12.30,2.46,123,2003
KRKA Novo Mesto,MES,7,17.43,3.49,122,2003
Efes Pilsen,IST,10,12.00,2.37,120,2003
Benetton Basket,TRE,10,11.90,2.38,119,2003
Olympiacos,OLY,10,11.80,2.36,118,2003
Alba Berlin,BER,7,16.29,3.20,114,2003
Asvel Basket,ASV,7,16.00,3.20,112,2003
Union Olimpija,LJU,10,11.20,2.21,112,2003
Ulker,ULK,10,11.00,2.20,110,2003
Unicaja,MAL,7,15.57,3.06,109,2003
Idea Slask,WRO,7,14.43,2.89,101,2003
Partizan,PAR,7,13.86,2.72,97,2003
AEK Athens,AEK,7,12.43,2.49,87,2003
Lottomatica Roma,ROM,7,11.71,2.30,82,2003
Panathinaikos,PAN,13,14.92,2.93,194,2004
Efes Pilsen,IST,12,15.58,3.08,187,2004
Tau Ceramica,BAS,13,13.08,2.59,170,2004
Zalgiris,ZAL,10,16.60,3.28,166,2004
Real Madrid,MAD,10,15.60,3.04,156,2004
Ulker,ULK,11,13.82,2.76,152,2004
Prokom Trefl Sopot,SOP,10,15.00,3.00,150,2004
Cibona VIP,CIB,10,14.80,2.89,148,2004
Benetton Basket,TRE,11,12.82,2.56,141,2004
Maccabi Elite,TEL,11,12.36,2.47,136,2004
AEK Athens,AEK,10,13.20,2.64,132,2004
FC Barcelona,BAR,10,12.70,2.54,127,2004
CSKA Moscow,CSK,11,11.36,2.25,125,2004
Partizan,PAR,7,17.14,3.43,120,2004
Opel Skyliners,FRA,7,16.86,3.37,118,2004
Climamio Bologna,FOR,10,11.60,2.29,116,2004
Montepaschi Siena,SIE,10,11.60,2.32,116,2004
Adecco Estudiantes,EST,7,16.43,3.29,115,2004
Scavolini Pesaro,PES,11,10.09,1.97,111,2004
Pau-Orthez,PAU,7,15.57,3.11,109,2004
Unicaja,MAL,7,14.71,2.94,103,2004
Asvel Basket,ASV,7,14.29,2.86,100,2004
Olympiacos,OLY,7,12.71,2.54,89,2004
Union Olimpija,LJU,7,12.00,2.40,84,2004
Tau Ceramica,BAS,14,15.07,2.99,211,2005
Real Madrid,MAD,12,14.75,2.95,177,2005
Zalgiris,ZAL,10,17.10,3.42,171,2005
Maccabi Elite,TEL,12,14.17,2.83,170,2005
GHP Bamberg,BAM,10,16.50,3.30,165,2005
Olympiacos,OLY,12,13.08,2.62,157,2005
Efes Pilsen,IST,11,14.18,2.80,156,2005
Lietuvos Rytas,LIE,10,15.20,3.00,152,2005
Panathinaikos,PAN,11,13.82,2.76,152,2005
CSKA Moscow,CSK,12,12.58,2.47,151,2005
Winterthur FC Barcelona,BAR,11,12.55,2.51,138,2005
Cibona VIP,CIB,10,13.80,2.76,138,2005
Strasbourg,STR,7,19.71,3.94,138,2005
Partizan,PAR,7,19.57,3.85,137,2005
Ulker,ULK,10,13.30,2.66,133,2005
Climamio Bologna,FOR,10,13.20,2.61,132,2005
Unicaja,MAL,10,13.20,2.64,132,2005
Benetton Basket,TRE,10,12.00,2.37,120,2005
AJ Milano,MIL,7,16.43,3.17,115,2005
Pau-Orthez,PAU,7,15.43,3.09,108,2005
Union Olimpija,LJU,7,14.71,2.94,103,2005
AEK Athens,AEK,7,14.57,2.91,102,2005
Prokom Trefl Sopot,SOP,7,14.43,2.89,101,2005
Montepaschi Siena,SIE,7,14.14,2.83,99,2005
Unicaja,MAL,13,16.54,3.21,215,2006
Olympiacos,OLY,11,16.82,3.36,185,2006
Pau-Orthez,PAU,10,18.20,3.51,182,2006
Maccabi Elite,TEL,12,15.00,2.94,180,2006
Dynamo Moscow,DYN,10,17.50,3.18,175,2006
Tau Ceramica,BAS,12,14.17,2.83,170,2006
Panathinaikos,PAN,11,15.27,3.05,168,2006
Partizan,PAR,10,16.40,3.28,164,2006
DKV Joventut,JOV,10,16.30,3.26,163,2006
CSKA Moscow,CSK,12,12.00,2.38,144,2006
Winterthur FC Barcelona,BAR,12,11.58,2.29,139,2006
Aris TT Bank,ARI,10,13.80,2.76,138,2006
Cibona,CIB,7,19.57,3.72,137,2006
Efes Pilsen,IST,10,13.70,2.74,137,2006
Lottomatica Roma,ROM,10,12.60,2.49,126,2006
Le Mans,LEM,7,17.57,3.51,123,2006
Prokom Trefl Sopot,SOP,10,12.30,2.43,123,2006
Zalgiris,ZAL,7,17.43,3.49,122,2006
RheinEnergie,COL,7,17.29,3.46,121,2006
Benetton Basket,TRE,10,11.80,2.33,118,2006
Fenerbahce Ulker,ULK,7,15.00,2.95,105,2006
Union Olimpija,LJU,7,14.71,2.94,103,2006
Eldo Napoli,NAP,7,12.43,2.44,87,2006
Climamio Bologna,FOR,7,12.29,2.46,86,2006
Partizan Igokea,PAR,12,17.33,3.43,208,2007
Olympiacos,OLY,12,14.25,2.85,171,2007
Tau Ceramica,BAS,12,14.17,2.80,170,2007
Unicaja,MAL,10,16.90,3.38,169,2007
Maccabi Elite,TEL,12,13.92,2.73,167,2007
Fenerbahce Ulker,ULK,11,14.91,2.98,164,2007
Zalgiris,ZAL,10,16.20,3.20,162,2007
AXA FC Barcelona,BAR,12,13.08,2.61,157,2007
Lietuvos Rytas,LIE,10,15.30,3.02,153,2007
Panathinaikos,PAN,10,15.20,3.00,152,2007
Efes Pilsen,IST,10,14.50,2.86,145,2007
Aris TT Bank,ARI,10,14.00,2.80,140,2007
Montepaschi Siena,SIE,11,12.55,2.48,138,2007
Union Olimpija,LJU,7,17.86,3.57,125,2007
CSKA Moscow,CSK,13,9.46,1.89,123,2007
Cibona,CIB,7,17.29,3.46,121,2007
Real Madrid,MAD,10,12.10,2.42,121,2007
Lottomatica Roma,ROM,10,12.10,2.42,121,2007
Brose Baskets,BAM,7,15.14,3.03,106,2007
Prokom Trefl Sopot,SOP,7,15.00,3.00,105,2007
Le Mans,LEM,7,14.57,2.91,102,2007
Chorale Roanne,ROA,7,14.57,2.91,102,2007
Virtus VidiVici,VIR,7,13.71,2.74,96,2007
AJ Milano,MIL,7,11.71,2.34,82,2007
Panathinaikos,PAN,11,14.64,2.93,161,2008
Partizan,PAR,10,15.40,3.04,154,2008
Olympiacos,OLY,10,14.80,2.92,148,2008
Tau Ceramica,BAS,11,12.91,2.55,142,2008
Regal FC Barcelona,BAR,11,12.55,2.51,138,2008
Real Madrid,MAD,10,13.60,2.72,136,2008
Cibona,CIB,8,16.25,3.25,130,2008
CSKA Moscow,CSK,11,11.09,2.22,122,2008
Unicaja,MAL,8,15.25,3.00,122,2008
Asseco Prokom,SOP,8,15.13,3.02,121,2008
Montepaschi Siena,SIE,10,11.90,2.38,119,2008
Fenerbahce Ulker,ULK,8,14.75,2.95,118,2008
Alba Berlin,BER,8,14.25,2.85,114,2008
Maccabi Electra,TEL,8,14.25,2.85,114,2008
AJ Milano,MIL,8,13.00,2.60,104,2008
Lottomatica Roma,ROM,8,12.25,2.41,98,2008
Zalgiris,ZAL,5,18.60,3.72,93,2008
Union Olimpija,LJU,5,16.80,3.13,84,2008
Panionios On Telecoms,NIO,5,16.40,3.28,82,2008
SLUC Nancy,NAN,5,16.20,3.24,81,2008
Efes Pilsen,IST,5,14.60,2.92,73,2008
Le Mans,LEM,5,14.20,2.77,71,2008
DKV Joventut,JOV,5,13.80,2.76,69,2008
Air Avellino,AVE,5,13.00,2.54,65,2008
Partizan,PAR,11,17.73,3.51,195,2009
CSKA Moscow,CSK,11,15.27,3.02,168,2009
Olympiacos,OLY,12,13.58,2.63,163,2009
Asseco Prokom,SOP,10,16.20,3.24,162,2009
Maccabi Electra,TEL,10,14.50,2.86,145,2009
Zalgiris Kaunas,ZAL,8,17.88,3.57,143,2009
BC Khimki,KHI,8,16.50,3.30,132,2009
Caja Laboral,BAS,10,13.10,2.62,131,2009
Real Madrid,MAD,10,12.80,2.53,128,2009
Regal FC Barcelona,BAR,10,11.70,2.31,117,2009
Panathinaikos,PAN,8,14.00,2.76,112,2009
Efes Pilsen,IST,8,13.88,2.73,111,2009
Unicaja,MAL,8,13.63,2.72,109,2009
Maroussi BC,MAR,8,12.13,2.42,97,2009
Cibona,CIB,8,11.75,2.31,94,2009
Union Olimpija,LJU,5,18.80,3.76,94,2009
Montepaschi Siena,SIE,8,11.50,2.30,92,2009
Lietuvos Rytas,LIE,5,17.60,3.52,88,2009
EWE Baskets,OLD,5,17.40,3.48,87,2009
Asvel Basket,ASV,5,16.80,3.36,84,2009
Entente Orleanaise,ORL,5,16.40,3.28,82,2009
Lottomatica Roma,ROM,5,16.40,3.28,82,2009
Fenerbahce Ulker,ULK,5,16.00,3.12,80,2009
Armani Jeans Milano,MIL,5,14.20,2.84,71,2009
Montepaschi Siena,SIE,12,13.75,2.75,165,2010
Power Electronics Valencia,PAM,11,14.73,2.95,162,2010
Panathinaikos Athens,PAN,11,14.09,2.79,155,2010
Real Madrid,MAD,11,13.45,2.69,148,2010
Olympiacos Piraeus,OLY,10,14.80,2.96,148,2010
Caja Laboral Vitoria,BAS,10,14.30,2.82,143,2010
Zalgiris Kaunas,ZAL,8,17.50,3.45,140,2010
Partizan mt:s Belgrade,PAR,8,16.75,3.35,134,2010
Union Olimpija Ljubljana,LJU,8,15.75,3.10,126,2010
Efes Pilsen Istanbul,IST,8,15.63,2.99,125,2010
Lottomatica Roma,ROM,8,14.75,2.95,118,2010
Lietuvos Rytas Vilnius,LIE,8,14.63,2.93,117,2010
Maccabi Electra Tel Aviv,TEL,10,11.50,2.30,115,2010
Regal Barcelona,BAR,10,11.20,2.21,112,2010
Unicaja Malaga,MAL,8,13.63,2.72,109,2010
Fenerbahce Ulker Istanbul,ULK,8,13.50,2.66,108,2010
CSKA Moscow,CSK,5,17.00,3.40,85,2010
Asseco Prokom Gdynia,SOP,5,16.40,3.20,82,2010
Brose Baskets Bamberg,BAM,5,16.00,3.12,80,2010
Cholet Basket,CHO,5,15.80,3.16,79,2010
Cibona Zagreb,CIB,5,15.60,3.12,78,2010
Spirou Charleroi,CHA,5,15.20,3.04,76,2010
Khimki Moscow Region,KHI,5,12.20,2.44,61,2010
Armani Jeans  Milano,MIL,5,12.00,2.40,60,2010
Olympiacos Piraeus,OLY,11,14.45,2.86,159,2011
Maccabi Electra Tel Aviv,TEL,11,13.73,2.71,151,2011
Unics Kazan,UNK,10,15.10,2.98,151,2011
Gescrap Bilbao Basket,BIL,10,14.00,2.80,140,2011
CSKA Moscow,CSK,10,13.50,2.67,135,2011
Panathinaikos Athens,PAN,11,12.00,2.40,132,2011
Fenerbahce Ulker,ULK,8,15.88,3.13,127,2011
Zalgiris Kaunas,ZAL,8,14.75,2.90,118,2011
Galatasaray Medical Park,GAL,8,14.38,2.87,115,2011
Unicaja Malaga,MAL,8,14.25,2.85,114,2011
FC Barcelona Regal,BAR,11,10.27,2.05,113,2011
Montepaschi Siena,SIE,10,10.90,2.18,109,2011
Anadolu Efes Istanbul,IST,8,13.38,2.67,107,2011
Real Madrid,MAD,8,12.63,2.52,101,2011
Bennet Cantu,CTU,8,11.63,2.29,93,2011
EA7 Emporio Armani,MIL,8,10.63,2.12,85,2011
SLUC Nancy,NAN,5,17.00,3.40,85,2011
Belgacom Spirou Charleroi,CHA,5,15.80,3.16,79,2011
Union Olimpija Ljubljana,LJU,5,15.40,3.08,77,2011
Partizan mt:s Belgrade,PAR,5,14.40,2.88,72,2011
KK Zagreb,ZAG,5,14.40,2.88,72,2011
Asseco Prokom Gdynia,SOP,5,13.60,2.65,68,2011
Brose Baskets,BAM,5,12.60,2.52,63,2011
Caja Laboral,BAS,5,10.60,2.12,53,2011
Panathinaikos Athens,PAN,15,15.60,3.09,234,2012
Anadolu Efes Istanbul,IST,15,13.73,2.74,206,2012
FC Barcelona Regal,BAR,15,12.87,2.55,193,2012
CSKA Moscow,CSK,14,13.57,2.67,190,2012
Laboral Kutxa Vitoria,BAS,14,13.14,2.63,184,2012
Alba Berlin,BER,12,14.92,2.98,179,2012
Olympiacos Piraeus,OLY,15,11.93,2.39,179,2012
Maccabi Electra Tel Aviv,TEL,14,12.79,2.56,179,2012
Besiktas JK Istanbul,BES,12,14.75,2.95,177,2012
Zalgiris Kaunas,ZAL,12,14.25,2.76,171,2012
Real Madrid,MAD,15,11.33,2.25,170,2012
Fenerbahce Ulker Istanbul,ULK,12,13.58,2.72,163,2012
Khimki Moscow Region,KHI,12,13.42,2.68,161,2012
Brose Baskets Bamberg,BAM,12,13.17,2.61,158,2012
Unicaja Malaga,MAL,12,12.67,2.53,152,2012
Montepaschi Siena,SIE,12,11.58,2.27,139,2012
Partizan mt:s Belgrade,PAR,5,18.00,3.51,90,2012
Asseco Prokom Gdynia,SOP,5,17.40,3.40,87,2012
Cedevita Zagreb,CED,5,15.80,3.16,79,2012
Elan Chalon-Sur-Saone,CHL,5,14.80,2.96,74,2012
Lietuvos Rytas Vilnius,LIE,5,14.60,2.92,73,2012
Union Olimpija Ljubljana,LJU,5,14.20,2.84,71,2012
EA7 Emporio Armani Milan,MIL,5,11.80,2.36,59,2012
Mapooro Cantu,CTU,5,11.20,2.24,56,2012
Zalgiris Kaunas,ZAL,12,16.25,3.25,195,2013
Maccabi Electra Tel Aviv,TEL,16,12.06,2.38,193,2013
Partizan NIS Belgrade,PAR,12,15.83,3.17,190,2013
Panathinaikos Athens,PAN,15,12.47,2.41,187,2013
Olympiacos Piraeus,OLY,15,12.00,2.40,180,2013
CSKA Moscow,CSK,15,11.60,2.28,174,2013
FC Bayern Munich,MUN,12,14.42,2.88,173,2013
Laboral Kutxa Vitoria,BAS,12,13.92,2.78,167,2013
EA7 Emporio Armani Milan,MIL,14,11.93,2.39,167,2013
Real Madrid,MAD,15,10.93,2.19,164,2013
Fenerbahce Ulker Istanbul,ULK,12,13.33,2.67,160,2013
Anadolu Efes Istanbul,IST,12,13.25,2.65,159,2013
Lokomotiv Kuban Krasnodar,TIV,12,12.58,2.52,151,2013
FC Barcelona,BAR,13,11.15,2.21,145,2013
Galatasaray Liv Hospital Istanbul,GAL,14,10.36,2.05,145,2013
Unicaja Malaga,MAL,12,12.00,2.40,144,2013
Crvena Zvezda Telekom Belgrade,RED,5,15.40,3.08,77,2013
Strasbourg,STR,5,14.60,2.92,73,2013
Lietuvos Rytas Vilnius,LIE,5,14.40,2.88,72,2013
Budivelnik Kiev,NIK,5,13.40,2.68,67,2013
JSF Nanterre,NTR,5,12.80,2.56,64,2013
Stelmet Zielona Gora,GSS,5,12.00,2.40,60,2013
Brose Baskets Bamberg,BAM,5,11.60,2.32,58,2013
Montepaschi Siena,SIE,5,9.00,1.80,45,2013
Olympiacos Piraeus,OLY,16,12.69,2.52,203,2014
Panathinaikos Athens,PAN,14,14.07,2.81,197,2014
CSKA Moscow,CSK,15,13.00,2.56,195,2014
Crvena Zvezda Telekom Belgrade,RED,12,16.17,3.16,194,2014
Maccabi Electra Tel Aviv,TEL,14,13.14,2.60,184,2014
Zalgiris Kaunas,ZAL,12,15.17,3.03,182,2014
ALBA Berlin,BER,12,14.75,2.92,177,2014
Anadolu Efes Istanbul,IST,14,12.00,2.40,168,2014
Galatasaray Liv Hospital Istanbul,GAL,12,13.92,2.78,167,2014
Unicaja Malaga,MAL,12,13.75,2.75,165,2014
Fenerbahce Ulker Istanbul,ULK,14,11.50,2.26,161,2014
FC Barcelona,BAR,14,10.86,2.18,152,2014
Laboral Kutxa Vitoria,BAS,12,12.50,2.50,150,2014
Nizhny Novgorod,NOV,12,11.92,2.36,143,2014
Real Madrid,MAD,14,8.79,1.76,123,2014
EA7 Emporio Armani Milan,MIL,12,9.92,1.98,119,2014
Limoges CSP,LMG,5,15.20,3.04,76,2014
Neptunas Klaipeda,KLA,5,13.40,2.68,67,2014
Dinamo Banco di Sardegna Sassari,SAS,5,13.20,2.64,66,2014
Unics Kazan,UNK,5,13.00,2.60,65,2014
Cedevita Zagreb,CED,5,12.60,2.52,63,2014
PGE Turow Zgorzelec,ZGO,5,12.40,2.48,62,2014
Valencia Basket,PAM,5,12.20,2.44,61,2014
FC Bayern Munich,MUN,5,10.40,2.08,52,2014
Crvena Zvezda Telekom Belgrade,RED,14,16.00,3.20,224,2015
Lokomotiv Kuban Krasnodar,TIV,16,13.94,2.77,223,2015
Panathinaikos Athens,PAN,14,15.29,3.03,214,2015
CSKA Moscow,CSK,14,13.93,2.74,195,2015
Laboral Kutxa Vitoria Gasteiz,BAS,14,13.79,2.71,193,2015
Real Madrid,MAD,14,13.36,2.67,187,2015
Darussafaka Dogus Istanbul,DAR,12,15.25,3.05,183,2015
Brose Baskets Bamberg,BAM,12,14.50,2.90,174,2015
Anadolu Efes Istanbul,IST,12,14.00,2.77,168,2015
Fenerbahce Istanbul,ULK,13,12.92,2.58,168,2015
FC Barcelona Lassa,BAR,15,11.07,2.21,166,2015
Unicaja Malaga,MAL,12,13.67,2.73,164,2015
Cedevita Zagreb,CED,12,13.33,2.67,160,2015
Zalgiris Kaunas,ZAL,12,13.33,2.67,160,2015
Khimki Moscow Region,KHI,12,13.17,2.63,158,2015
Olympiacos Piraeus,OLY,12,11.25,2.20,135,2015
Limoges CSP,LMG,5,17.80,3.56,89,2015
Strasbourg,STR,5,17.80,3.56,89,2015
Pinar Karsiyaka Izmir,KSK,5,15.00,3.00,75,2015
FC Bayern Munich,MUN,5,12.80,2.56,64,2015
Maccabi FOX Tel Aviv,TEL,5,12.20,2.44,61,2015
Stelmet Zielona Gora,GSS,5,11.60,2.32,58,2015
Dinamo Banco di Sardegna Sassari,SAS,5,11.20,2.19,56,2015
EA7 Emporio Armani Milan,MIL,5,10.60,2.12,53,2015
CSKA Moscow,CSK,17,14.59,2.90,248,2016
FC Barcelona Lassa,BAR,15,15.93,3.16,239,2016
Baskonia Vitoria Gasteiz,BAS,17,14.00,2.80,238,2016
Olympiacos Piraeus,OLY,19,12.53,2.49,238,2016
Real Madrid,MAD,18,12.44,2.49,224,2016
EA7 Emporio Armani Milan,MIL,15,14.73,2.92,221,2016
Maccabi FOX Tel Aviv,TEL,15,14.53,2.88,218,2016
Fenerbahce Istanbul,ULK,17,12.24,2.43,208,2016
Anadolu Efes Istanbul,IST,18,11.22,2.21,202,2016
Brose Bamberg,BAM,15,13.33,2.67,200,2016
Zalgiris Kaunas,ZAL,15,13.07,2.61,196,2016
Unics Kazan,UNK,15,13.00,2.60,195,2016
Galatasaray Odeabank Istanbul,GAL,15,12.87,2.57,193,2016
Panathinaikos Superfoods Athens,PAN,16,12.00,2.36,192,2016
Darussafaka Dogus Istanbul,DAR,17,10.18,2.02,173,2016
Crvena Zvezda mts Belgrade,RED,15,11.20,2.24,168,2016
Zalgiris Kaunas,ZAL,19,15.00,2.92,285,2017
Olympiacos Piraeus,OLY,17,13.71,2.68,233,2017
KIROLBET Baskonia Vitoria Gasteiz,BAS,17,13.24,2.65,225,2017
Panathinaikos Superfoods Athens,PAN,17,12.53,2.49,213,2017
Fenerbahce Dogus Istanbul,ULK,18,11.78,2.32,212,2017
Real Madrid,MAD,18,11.33,2.25,204,2017
CSKA Moscow,CSK,17,11.82,2.36,201,2017
Brose Bamberg,BAM,15,13.07,2.61,196,2017
Unicaja Malaga,MAL,15,13.07,2.59,196,2017
Khimki Moscow Region,KHI,17,11.12,2.22,189,2017
Crvena Zvezda mts Belgrade,RED,15,12.47,2.49,187,2017
FC Barcelona Lassa,BAR,15,12.20,2.44,183,2017
Anadolu Efes Istanbul,IST,15,12.13,2.43,182,2017
Maccabi FOX Tel Aviv,TEL,15,11.60,2.32,174,2017
Valencia Basket,PAM,15,11.53,2.31,173,2017
AX Armani Exchange Olimpia Milan,MIL,15,11.40,2.24,171,2017
