Klub,Kratica,St_tekem,Povprecje,Na_40_min,Assistances,Sezona
Maccabi Elite,TEL,13,19.23,3.85,250,2004
CSKA Moscow,CSK,13,13.46,2.64,175,2004
AEK Athens,AEK,10,16.50,3.30,165,2004
Tau Ceramica,BAS,11,15.00,3.00,165,2004
Zalgiris,ZAL,10,15.40,3.04,154,2004
Montepaschi Siena,SIE,10,15.00,2.96,150,2004
Ulker,ULK,11,13.18,2.64,145,2004
Climamio Bologna,FOR,10,14.30,2.86,143,2004
Efes Pilsen,IST,11,12.82,2.56,141,2004
Panathinaikos,PAN,12,11.58,2.27,139,2004
Prokom Trefl Sopot,SOP,10,13.70,2.71,137,2004
Benetton Basket,TRE,11,12.09,2.42,133,2004
Cibona VIP,CIB,10,13.10,2.59,131,2004
Real Madrid,MAD,10,12.90,2.55,129,2004
Pau-Orthez,PAU,7,18.00,3.60,126,2004
Scavolini Pesaro,PES,11,10.91,2.16,120,2004
Asvel Basket,ASV,7,15.14,2.98,106,2004
Adecco Estudiantes,EST,7,14.29,2.86,100,2004
FC Barcelona,BAR,10,9.90,1.98,99,2004
Opel Skyliners,FRA,7,13.71,2.74,96,2004
Olympiacos,OLY,7,12.71,2.50,89,2004
Unicaja,MAL,7,12.14,2.43,85,2004
Partizan,PAR,7,12.14,2.39,85,2004
Union Olimpija,LJU,7,10.00,2.00,70,2004
Maccabi Elite,TEL,13,17.38,3.41,226,2005
Winterthur FC Barcelona,BAR,14,14.36,2.87,201,2005
CSKA Moscow,CSK,12,15.00,3.00,180,2005
Tau Ceramica,BAS,11,15.36,3.07,169,2005
Zalgiris,ZAL,10,15.60,3.12,156,2005
Panathinaikos,PAN,12,12.67,2.53,152,2005
Real Madrid,MAD,11,13.36,2.64,147,2005
Climamio Bologna,FOR,10,14.30,2.86,143,2005
Olympiacos,OLY,11,12.55,2.48,138,2005
Benetton Basket,TRE,10,13.60,2.69,136,2005
Unicaja,MAL,10,13.00,2.54,130,2005
GHP Bamberg,BAM,10,12.90,2.58,129,2005
Efes Pilsen,IST,11,11.00,2.20,121,2005
Lietuvos Rytas,LIE,10,11.60,2.32,116,2005
Ulker,ULK,10,11.50,2.30,115,2005
Prokom Trefl Sopot,SOP,7,15.86,3.17,111,2005
Strasbourg,STR,7,15.14,2.98,106,2005
Pau-Orthez,PAU,7,15.00,3.00,105,2005
Cibona VIP,CIB,10,9.50,1.90,95,2005
AJ Milano,MIL,7,12.71,2.50,89,2005
Montepaschi Siena,SIE,7,12.43,2.49,87,2005
Union Olimpija,LJU,7,12.14,2.39,85,2005
Partizan,PAR,7,12.00,2.40,84,2005
AEK Athens,AEK,7,11.86,2.37,83,2005
CSKA Moscow,CSK,13,17.08,3.42,222,2006
Tau Ceramica,BAS,12,16.58,3.32,199,2006
Winterthur FC Barcelona,BAR,11,17.45,3.45,192,2006
Unicaja,MAL,12,15.25,3.05,183,2006
Maccabi Elite,TEL,11,16.36,3.24,180,2006
Panathinaikos,PAN,13,13.77,2.75,179,2006
Pau-Orthez,PAU,10,16.60,3.28,166,2006
Olympiacos,OLY,11,14.64,2.93,161,2006
Partizan,PAR,10,15.10,2.91,151,2006
Benetton Basket,TRE,10,14.60,2.92,146,2006
Prokom Trefl Sopot,SOP,10,14.10,2.82,141,2006
Le Mans,LEM,7,19.86,3.97,139,2006
Efes Pilsen,IST,10,13.20,2.61,132,2006
DKV Joventut,JOV,10,12.50,2.50,125,2006
Aris TT Bank,ARI,10,12.30,2.43,123,2006
Dynamo Moscow,DYN,11,11.18,2.21,123,2006
Lottomatica Roma,ROM,10,11.10,2.19,111,2006
Zalgiris,ZAL,7,15.00,2.90,105,2006
RheinEnergie,COL,7,14.29,2.86,100,2006
Cibona,CIB,7,13.00,2.51,91,2006
Climamio Bologna,FOR,7,12.57,2.51,88,2006
Fenerbahce Ulker,ULK,7,11.71,2.30,82,2006
Union Olimpija,LJU,7,11.57,2.27,81,2006
Eldo Napoli,NAP,7,9.00,1.74,63,2006
Maccabi Elite,TEL,13,20.00,4.00,260,2007
Montepaschi Siena,SIE,13,14.77,2.93,192,2007
CSKA Moscow,CSK,12,14.58,2.92,175,2007
AXA FC Barcelona,BAR,11,15.00,3.00,165,2007
Tau Ceramica,BAS,13,12.54,2.51,163,2007
Real Madrid,MAD,10,16.30,3.18,163,2007
Olympiacos,OLY,11,14.00,2.77,154,2007
Partizan Igokea,PAR,11,13.55,2.71,149,2007
Zalgiris,ZAL,10,14.70,2.94,147,2007
Unicaja,MAL,10,14.60,2.92,146,2007
Le Mans,LEM,7,19.71,3.87,138,2007
Lietuvos Rytas,LIE,10,13.70,2.74,137,2007
Efes Pilsen,IST,10,13.20,2.61,132,2007
Panathinaikos,PAN,10,13.10,2.62,131,2007
Fenerbahce Ulker,ULK,11,11.45,2.27,126,2007
Aris TT Bank,ARI,10,11.80,2.33,118,2007
Chorale Roanne,ROA,7,16.00,3.20,112,2007
Lottomatica Roma,ROM,10,9.10,1.80,91,2007
Prokom Trefl Sopot,SOP,7,13.00,2.60,91,2007
Union Olimpija,LJU,7,11.14,2.23,78,2007
AJ Milano,MIL,7,11.14,2.23,78,2007
Brose Baskets,BAM,7,10.86,2.17,76,2007
Cibona,CIB,7,10.29,2.06,72,2007
Virtus VidiVici,VIR,7,9.29,1.86,65,2007
Olympiacos,OLY,12,16.92,3.38,203,2008
Regal FC Barcelona,BAR,12,14.50,2.90,174,2008
CSKA Moscow,CSK,10,16.60,3.32,166,2008
Panathinaikos,PAN,11,14.82,2.93,163,2008
Tau Ceramica,BAS,10,15.20,3.04,152,2008
Real Madrid,MAD,10,14.90,2.98,149,2008
Maccabi Electra,TEL,8,16.88,3.32,135,2008
Unicaja,MAL,8,15.13,2.98,121,2008
Montepaschi Siena,SIE,10,11.90,2.38,119,2008
Partizan,PAR,9,12.44,2.49,112,2008
Fenerbahce Ulker,ULK,8,12.75,2.44,102,2008
Alba Berlin,BER,8,11.88,2.37,95,2008
Lottomatica Roma,ROM,8,11.75,2.28,94,2008
Asseco Prokom,SOP,8,10.63,2.12,85,2008
Cibona,CIB,8,10.00,1.97,80,2008
DKV Joventut,JOV,5,16.00,3.20,80,2008
AJ Milano,MIL,8,9.75,1.95,78,2008
Le Mans,LEM,5,13.80,2.69,69,2008
Panionios On Telecoms,NIO,5,12.60,2.52,63,2008
Zalgiris,ZAL,5,12.40,2.48,62,2008
SLUC Nancy,NAN,5,11.80,2.36,59,2008
Air Avellino,AVE,5,10.20,2.04,51,2008
Union Olimpija,LJU,5,9.00,1.80,45,2008
Efes Pilsen,IST,5,8.60,1.72,43,2008
Olympiacos,OLY,10,20.30,4.06,203,2009
Maccabi Electra,TEL,10,18.30,3.66,183,2009
Regal FC Barcelona,BAR,12,15.08,3.02,181,2009
CSKA Moscow,CSK,11,15.55,3.07,171,2009
Partizan,PAR,11,14.00,2.74,154,2009
Real Madrid,MAD,10,15.00,3.00,150,2009
Caja Laboral,BAS,10,14.80,2.92,148,2009
Asseco Prokom,SOP,10,13.90,2.78,139,2009
BC Khimki,KHI,8,17.25,3.35,138,2009
Efes Pilsen,IST,8,16.63,3.27,133,2009
Unicaja,MAL,8,16.25,3.20,130,2009
Panathinaikos,PAN,8,15.13,3.02,121,2009
Maroussi BC,MAR,8,13.00,2.60,104,2009
Montepaschi Siena,SIE,8,13.00,2.60,104,2009
Zalgiris Kaunas,ZAL,8,12.50,2.50,100,2009
Lietuvos Rytas,LIE,5,18.00,3.51,90,2009
Entente Orleanaise,ORL,5,16.40,3.28,82,2009
Cibona,CIB,8,9.75,1.95,78,2009
Asvel Basket,ASV,5,14.80,2.89,74,2009
Armani Jeans Milano,MIL,5,12.20,2.44,61,2009
Union Olimpija,LJU,5,12.00,2.34,60,2009
Fenerbahce Ulker,ULK,5,11.40,2.28,57,2009
EWE Baskets,OLD,5,9.80,1.96,49,2009
Lottomatica Roma,ROM,5,9.60,1.87,48,2009
Maccabi Electra Tel Aviv,TEL,12,17.25,3.41,207,2010
Olympiacos Piraeus,OLY,10,18.50,3.70,185,2010
Real Madrid,MAD,12,15.08,2.96,181,2010
Panathinaikos Athens,PAN,11,14.73,2.91,162,2010
Caja Laboral Vitoria,BAS,10,14.90,2.98,149,2010
Regal Barcelona,BAR,10,14.50,2.90,145,2010
Montepaschi Siena,SIE,10,14.30,2.86,143,2010
Fenerbahce Ulker Istanbul,ULK,8,17.63,3.53,141,2010
Unicaja Malaga,MAL,8,17.50,3.50,140,2010
Lietuvos Rytas Vilnius,LIE,8,16.25,3.25,130,2010
Power Electronics Valencia,PAM,10,13.00,2.60,130,2010
Efes Pilsen Istanbul,IST,8,15.75,3.15,126,2010
Union Olimpija Ljubljana,LJU,8,13.75,2.63,110,2010
Zalgiris Kaunas,ZAL,8,13.50,2.58,108,2010
Lottomatica Roma,ROM,8,12.13,2.42,97,2010
Partizan mt:s Belgrade,PAR,8,11.00,2.20,88,2010
Spirou Charleroi,CHA,5,14.60,2.92,73,2010
Brose Baskets Bamberg,BAM,5,14.20,2.84,71,2010
Khimki Moscow Region,KHI,5,14.00,2.73,70,2010
Cholet Basket,CHO,5,13.40,2.68,67,2010
CSKA Moscow,CSK,5,13.00,2.60,65,2010
Armani Jeans  Milano,MIL,5,12.40,2.48,62,2010
Asseco Prokom Gdynia,SOP,5,11.40,2.28,57,2010
Cibona Zagreb,CIB,5,10.20,2.04,51,2010
CSKA Moscow,CSK,12,19.58,3.92,235,2011
Panathinaikos Athens,PAN,12,15.50,3.04,186,2011
Olympiacos Piraeus,OLY,11,15.64,3.13,172,2011
FC Barcelona Regal,BAR,10,16.40,3.28,164,2011
Gescrap Bilbao Basket,BIL,10,15.50,3.10,155,2011
Bennet Cantu,CTU,8,17.88,3.57,143,2011
Montepaschi Siena,SIE,10,13.80,2.76,138,2011
Maccabi Electra Tel Aviv,TEL,10,13.60,2.72,136,2011
Real Madrid,MAD,8,16.88,3.38,135,2011
Anadolu Efes Istanbul,IST,8,16.00,3.20,128,2011
Galatasaray Medical Park,GAL,8,14.63,2.84,117,2011
EA7 Emporio Armani,MIL,8,14.25,2.85,114,2011
Unicaja Malaga,MAL,8,13.75,2.71,110,2011
Zalgiris Kaunas,ZAL,8,13.25,2.65,106,2011
Unics Kazan,UNK,9,11.67,2.33,105,2011
Fenerbahce Ulker,ULK,8,11.50,2.23,92,2011
Brose Baskets,BAM,5,15.20,3.04,76,2011
Partizan mt:s Belgrade,PAR,5,15.20,3.04,76,2011
Caja Laboral,BAS,5,13.60,2.65,68,2011
Asseco Prokom Gdynia,SOP,5,13.20,2.64,66,2011
SLUC Nancy,NAN,5,12.80,2.56,64,2011
Belgacom Spirou Charleroi,CHA,5,12.20,2.44,61,2011
KK Zagreb,ZAG,5,12.20,2.44,61,2011
Union Olimpija Ljubljana,LJU,5,10.80,2.16,54,2011
CSKA Moscow,CSK,16,18.00,3.60,288,2012
FC Barcelona Regal,BAR,16,16.38,3.25,262,2012
Khimki Moscow Region,KHI,12,21.25,4.24,255,2012
Olympiacos Piraeus,OLY,16,14.75,2.95,236,2012
Panathinaikos Athens,PAN,14,15.71,3.14,220,2012
Anadolu Efes Istanbul,IST,14,15.57,3.09,218,2012
Laboral Kutxa Vitoria,BAS,14,15.07,3.01,211,2012
Real Madrid,MAD,14,14.64,2.90,205,2012
Maccabi Electra Tel Aviv,TEL,13,15.15,3.03,197,2012
Montepaschi Siena,SIE,12,15.92,3.15,191,2012
Zalgiris Kaunas,ZAL,12,14.67,2.90,176,2012
Besiktas JK Istanbul,BES,12,14.33,2.87,172,2012
Brose Baskets Bamberg,BAM,12,14.08,2.76,169,2012
Alba Berlin,BER,12,13.42,2.68,161,2012
Fenerbahce Ulker Istanbul,ULK,12,13.00,2.60,156,2012
Unicaja Malaga,MAL,12,12.67,2.51,152,2012
Elan Chalon-Sur-Saone,CHL,5,17.60,3.43,88,2012
Asseco Prokom Gdynia,SOP,5,16.00,3.20,80,2012
Mapooro Cantu,CTU,5,14.20,2.84,71,2012
EA7 Emporio Armani Milan,MIL,5,13.80,2.76,69,2012
Partizan mt:s Belgrade,PAR,5,13.40,2.55,67,2012
Cedevita Zagreb,CED,5,12.60,2.40,63,2012
Union Olimpija Ljubljana,LJU,5,12.20,2.44,61,2012
Lietuvos Rytas Vilnius,LIE,5,9.60,1.92,48,2012
FC Barcelona,BAR,16,19.31,3.86,309,2013
Real Madrid,MAD,16,19.31,3.83,309,2013
CSKA Moscow,CSK,16,18.81,3.70,301,2013
Maccabi Electra Tel Aviv,TEL,14,18.93,3.79,265,2013
Olympiacos Piraeus,OLY,14,18.14,3.63,254,2013
Lokomotiv Kuban Krasnodar,TIV,12,20.17,3.99,242,2013
Panathinaikos Athens,PAN,14,17.00,3.37,238,2013
Galatasaray Liv Hospital Istanbul,GAL,13,16.15,3.23,210,2013
Zalgiris Kaunas,ZAL,12,17.25,3.45,207,2013
Anadolu Efes Istanbul,IST,12,16.92,3.31,203,2013
Unicaja Malaga,MAL,12,16.58,3.32,199,2013
EA7 Emporio Armani Milan,MIL,14,14.07,2.79,197,2013
Laboral Kutxa Vitoria,BAS,12,15.25,3.05,183,2013
FC Bayern Munich,MUN,12,15.00,3.00,180,2013
Fenerbahce Ulker Istanbul,ULK,12,14.50,2.90,174,2013
Partizan NIS Belgrade,PAR,12,12.83,2.57,154,2013
Strasbourg,STR,5,20.00,4.00,100,2013
Brose Baskets Bamberg,BAM,5,18.60,3.72,93,2013
Budivelnik Kiev,NIK,5,18.40,3.68,92,2013
Lietuvos Rytas Vilnius,LIE,5,16.20,3.16,81,2013
Crvena Zvezda Telekom Belgrade,RED,5,15.60,3.04,78,2013
Stelmet Zielona Gora,GSS,5,15.00,3.00,75,2013
Montepaschi Siena,SIE,5,13.60,2.72,68,2013
JSF Nanterre,NTR,5,12.80,2.56,64,2013
Real Madrid,MAD,16,23.19,4.63,371,2014
CSKA Moscow,CSK,15,23.00,4.56,345,2014
Panathinaikos Athens,PAN,14,19.29,3.86,270,2014
Olympiacos Piraeus,OLY,14,19.00,3.80,266,2014
Fenerbahce Ulker Istanbul,ULK,15,17.13,3.40,257,2014
FC Barcelona,BAR,14,18.29,3.59,256,2014
Maccabi Electra Tel Aviv,TEL,13,17.62,3.49,229,2014
Crvena Zvezda Telekom Belgrade,RED,12,18.92,3.78,227,2014
Anadolu Efes Istanbul,IST,14,16.14,3.23,226,2014
Nizhny Novgorod,NOV,12,17.67,3.53,212,2014
ALBA Berlin,BER,12,17.00,3.40,204,2014
Unicaja Malaga,MAL,12,16.75,3.32,201,2014
Zalgiris Kaunas,ZAL,12,14.83,2.97,178,2014
EA7 Emporio Armani Milan,MIL,12,14.50,2.90,174,2014
Galatasaray Liv Hospital Istanbul,GAL,12,14.33,2.78,172,2014
Laboral Kutxa Vitoria,BAS,12,13.92,2.78,167,2014
Valencia Basket,PAM,5,19.20,3.82,96,2014
Cedevita Zagreb,CED,5,18.80,3.76,94,2014
FC Bayern Munich,MUN,5,17.40,3.48,87,2014
Limoges CSP,LMG,5,17.20,3.44,86,2014
Neptunas Klaipeda,KLA,5,17.00,3.32,85,2014
PGE Turow Zgorzelec,ZGO,5,15.60,3.12,78,2014
Unics Kazan,UNK,5,15.20,3.04,76,2014
Dinamo Banco di Sardegna Sassari,SAS,5,14.60,2.92,73,2014
Real Madrid,MAD,13,21.77,4.35,283,2015
CSKA Moscow,CSK,15,18.47,3.69,277,2015
Panathinaikos Athens,PAN,13,21.08,4.22,274,2015
Fenerbahce Istanbul,ULK,16,17.13,3.37,274,2015
Lokomotiv Kuban Krasnodar,TIV,15,17.13,3.43,257,2015
Brose Baskets Bamberg,BAM,12,20.58,4.12,247,2015
FC Barcelona Lassa,BAR,14,17.64,3.44,247,2015
Anadolu Efes Istanbul,IST,12,20.42,4.04,245,2015
Khimki Moscow Region,KHI,12,20.00,4.00,240,2015
Laboral Kutxa Vitoria Gasteiz,BAS,15,15.13,2.95,227,2015
Unicaja Malaga,MAL,12,17.92,3.58,215,2015
Crvena Zvezda Telekom Belgrade,RED,13,16.23,3.25,211,2015
Olympiacos Piraeus,OLY,12,17.50,3.50,210,2015
Cedevita Zagreb,CED,12,16.92,3.38,203,2015
Darussafaka Dogus Istanbul,DAR,12,16.50,3.27,198,2015
Zalgiris Kaunas,ZAL,12,13.92,2.78,167,2015
Strasbourg,STR,5,19.60,3.92,98,2015
Maccabi FOX Tel Aviv,TEL,5,18.40,3.68,92,2015
Limoges CSP,LMG,5,18.00,3.60,90,2015
FC Bayern Munich,MUN,5,17.20,3.44,86,2015
Stelmet Zielona Gora,GSS,5,17.00,3.40,85,2015
Pinar Karsiyaka Izmir,KSK,5,17.00,3.40,85,2015
EA7 Emporio Armani Milan,MIL,5,16.80,3.36,84,2015
Dinamo Banco di Sardegna Sassari,SAS,5,15.80,3.16,79,2015
Real Madrid,MAD,18,20.83,4.17,375,2016
CSKA Moscow,CSK,18,20.06,3.98,361,2016
Fenerbahce Istanbul,ULK,18,18.56,3.69,334,2016
Anadolu Efes Istanbul,IST,17,19.00,3.74,323,2016
Galatasaray Odeabank Istanbul,GAL,15,21.40,4.28,321,2016
Baskonia Vitoria Gasteiz,BAS,16,18.94,3.79,303,2016
Zalgiris Kaunas,ZAL,15,19.47,3.89,292,2016
Brose Bamberg,BAM,15,19.07,3.75,286,2016
FC Barcelona Lassa,BAR,15,18.33,3.67,275,2016
Maccabi FOX Tel Aviv,TEL,15,18.33,3.67,275,2016
Olympiacos Piraeus,OLY,18,14.83,2.97,267,2016
EA7 Emporio Armani Milan,MIL,15,17.40,3.48,261,2016
Crvena Zvezda mts Belgrade,RED,15,17.40,3.45,261,2016
Unics Kazan,UNK,15,17.13,3.40,257,2016
Darussafaka Dogus Istanbul,DAR,17,14.88,2.98,253,2016
Panathinaikos Superfoods Athens,PAN,17,14.18,2.77,241,2016
CSKA Moscow,CSK,19,19.26,3.83,366,2017
Real Madrid,MAD,18,19.83,3.97,357,2017
KIROLBET Baskonia Vitoria Gasteiz,BAS,17,20.53,4.11,349,2017
Fenerbahce Dogus Istanbul,ULK,18,19.28,3.80,347,2017
Zalgiris Kaunas,ZAL,17,20.41,4.08,347,2017
Panathinaikos Superfoods Athens,PAN,17,18.82,3.71,320,2017
Khimki Moscow Region,KHI,17,17.94,3.59,305,2017
FC Barcelona Lassa,BAR,15,19.67,3.93,295,2017
Olympiacos Piraeus,OLY,17,16.53,3.23,281,2017
Unicaja Malaga,MAL,15,18.00,3.54,270,2017
Valencia Basket,PAM,15,17.33,3.41,260,2017
Maccabi FOX Tel Aviv,TEL,15,17.20,3.44,258,2017
Crvena Zvezda mts Belgrade,RED,15,17.00,3.40,255,2017
Anadolu Efes Istanbul,IST,15,16.67,3.33,250,2017
Brose Bamberg,BAM,15,16.60,3.32,249,2017
AX Armani Exchange Olimpia Milan,MIL,15,16.33,3.21,245,2017
